Name,Posts,Papers
dennis frailey,324,4
feldman michael,284,27
david klappholz,225,6
conrad cunningham,172,2
bloch stephen,147,2
bonnie mackellar,145,6
bergin joseph,143,46
ed gehringer,120,22
jane prey,119,30
heines jesse,119,16
rodger susan,112,94
guzdial mark,111,92
bruce kim,109,41
alphonce carl,105,17
huggins jim,100,6
henderson peter,88,55
henry walker,81,97
fitzgerald sue,81,37
raymond schneider,75,0
brian harvey,72,14
rebelsky samuel,71,29
ingrid russell,68,12
paul tymann,68,22
heliotis james,66,7
rasala richard,66,39
ursula wolz,66,59
cliff shaffer,62,37
hailperin max,60,6
klling michael,59,51
astrachan owen,57,74
proulx viera,57,49
baldwin doug,56,51
ellis heidi,55,36
elliot koffman,55,33
fred martin,53,8
ray schneider,53,0
mehran sahami,53,19
michael rogers,52,9
kurmas zachary,51,13
almstrum vicki,50,55
bareiss cathy,49,14
gary schubert,48,0
jennifer kay,48,4
sharon tuttle,47,2
caristi james,47,19
eugene wallingford,47,12
pattis richard,47,24
bagert don,46,22
joel william,46,13
hitchner lew,46,10
dave musicant,45,9
cunningham steve,44,35
edward gehringer,44,22
available name no,44,0
manuel perezquinones,44,42
desjardins marie,44,6
enbody richard,44,7
andrea lynn stein,43,5
barbara boucher owens,42,30
nick parlante,42,50
neller todd,42,4
frank young,41,23
drake peter,41,2
cay horstmann,40,8
prasad sushil,40,2
ian sanders,40,29
beth katz,40,4
amruth kumar,39,63
barr valerie,39,9
ann leigh sudol,38,12
deepak kumar,38,28
grissom scott,37,30
francis howard,37,0
bruce klein,37,8
dan mccracken,36,14
beidler jack,36,27
felleisen matthias,36,2
erik jan mostrm,35,26
hilburn tom,35,26
berque dave,35,15
reges stuart,34,36
john mccormick,34,14
gersting judith,34,25
kaczmarczyk lisa,34,30
obryan todd,34,0
dale shaffer,34,6
cortina thomas,34,12
bob lechner,34,1
christine moore,33,0
mccauley renee,33,69
george harrison,33,0
conrad phillip,33,5
don slater,33,15
caspersen michael,33,35
abunawass adel,33,10
frank mccown,32,3
boots cassel lillian,32,94
cary laxer,32,29
drysdale scot,32,4
ian utting,32,22
chingkuang shene,32,41
michael olan,31,0
lamb rich,31,0
amber settle,31,36
beth simon,31,82
arnow david,31,16
jadud matt,30,15
edwards stephen,30,62
dave mason,29,11
laurie williams,29,19
frank friedman,29,12
dougherty john,29,12
ellen walker,29,12
atanas radenski,29,17
dickey martin,29,4
lewis mark,29,8
gross joshua,28,0
geoff kuenning,28,4
brenner matt,28,0
bouvier dennis,28,12
johnson liz,28,0
barry burd,27,7
benjamin shults,27,2
eric roberts,27,71
barry brown,27,0
east philip,27,11
charles riedesel,27,18
deborah hwang,26,4
dasigi venu,26,6
clif kussmaul,26,22
impagliazzo john,26,79
depasquale peter,26,9
cassel lillian,25,94
hartenstein reiner,25,0
charlie shub,25,20
becker byron weber,25,5
kathryn sanders,25,51
margaret menzin,25,3
eric freudenthal personal,25,2
simon,25,80
lister raymond,25,78
goldweber michael,25,57
dan garcia,25,77
kreinovich vladik,24,3
blank douglas,24,13
safincher,24,0
linda null,24,14
gray jeff,24,24
gary lewandowski,24,20
howerton,24,4
marty stepp,24,5
hoffman mark,24,11
botting richard,24,2
horton tom,24,2
kirkpams kirkpatrick michael scott,23,6
barbara lerner,23,0
naps tom,23,56
jeffrey popyack,23,40
dooley john,23,15
michael schneider,23,4
briana morrison,23,29
appel florence,22,4
matthews suzanne,22,6
brstler jrgen,22,0
hilary holz,22,9
alvaro monge,22,4
cicirello vincent,22,2
myers paul,21,15
brandle stefan,21,1
faux rob,21,0
mark sherman,21,3
dempster euan,21,1
lauwers tom,21,3
dale nell,21,63
heller rachelle,21,9
brusilovsky peter,21,13
